Serial No.,Acc. No.,Book Name,Author,Publication,Call No,ISBN,Price
672,23,"Microprocessor Architecture, Programming & Applications With The 8085; 3E",Ramesh S.Gaonkar,PENRAM INTERNATIONAL,004.16 GAO-M;3E,81-900828-0-9,
673,16,"Microprocessor Comprehensive Studies Architecture, Programming And Interfacing",Naresh Grover,DHANPAT RAI,004.16 GRO-M,,170
674,263,"Microprocessor Comprehensive Studies Architecture,Pgming And Interfacing",Naresh Grover,DHANPAT RAI,004.16 GRO-M,,180
675,535,Microprocessor Microcomputer And Their Applicatios,A.K. Mukhopadhyay,Narosa pub. House,004.16 MUK- M,978-81-7319-759-8,295
676,585,Microprocessors And Interfacing 2E,Douglas V Hall,Mc Graw Hill,004.16 HAL-M;2E,978-0-07-060167-3,
677,808,Microprocessors And Interfacing 2E,Douglas V Hall,Mc Graw Hill,004.16 HAL-M;2E,978-0-07-060167-3,499
678,838,Microprocessors And Interfacing 2E,Douglas V Hall,Mc Graw Hill,004.16 HAL-M;2E,978-0-07-060167-3,499
679,123,"Microprocessors Architecture, Programming & Applications With The 8085 5E",Ramesh S Gaonkar,Penram International,004.16  GAO-M;5E,81-8797209-2,280
680,124,"Microprocessors Architecture, Programming & Applications With The 8085 5E",Ramesh S Gaonkar,Penram International,004.16  GAO-M;5E,81-8797209-2,280
681,161,"Microprocessors Architecture, Programming & Applications With The 8085 5E",Ramesh S Gaonkar,Penram International,004.16  GAO-M;5E,81-8797209-2,360
682,536,"Microprocessors Architecture, Programming & Applications With The 8085 5E",Ramesh S Gaonkar,Penram International,004.16  GAO-M;5E,81-8797209-2,360
683,122,"Microprocessors Architecture, Programming & Applications With The 8085 5E",Ramesh Goankar,PENRAM,004.16 GOA-M;5E,81-87972-09-2,360
684,653,"Microprocessors Architecture,Programming & Application With 8085",Ramesh Gaonhar,Penaram International Publishing Pvt.Ltd,004.16 GAO-M,818797209-2,360
685,402,Mining The Web,Soumen Chakrabarti,ELSEVIER INDIA PVT LTD,005.74 CHA-M,978-81-8147-886-3,350
686,215,Mla Handbook For Writers Of Research Papers 6E,Joseph Gibaldi,EWP,001.4 GIB-M;6E,81-8671-044-X,140
687,105,Mobile Communication 2E,Jochen Schiller,Pearson Education,621.384 5 SCH-M;2E,978-81-317-2426-2,399
688,234,Mobile Communications 2E,Jochen Schiller,PEARSON EDUCATION,621.384 5 SCH-M;2E,978-81-317-2426-2,
689,784,Mobile Communications 2E,Jochen Schiller,Pearson Education,621.384 5 SCH-M;2E,978-81-317-2426-2,
690,785,Mobile Communications 2E,Jochen Schiller,Pearson Education,621.384 5 SCH-M;2E,978-81-317-2426-2,
691,791,Mobile Communications 2E,Jochen Schiller,Pearson Education,621.384 5 SCH-M;2E,978-81-317-2426-2,545
692,834,Mobile Communications 2E,Jochen Schiller,Pearson Education,621.384 5 SCH-M;2E,978-81-317-2426-2,545
693,898,Mobile Communications 2E,Jochen Schiller,PEARSON EDUCATION,621.384 5 SCH-M;2E,978-81-317-2426-2,
694,829,Mobile Computing,"Tomasz Imielinski, Henry F Korth",Springer International Edition,004.6 IMI-M,978-81-8489-662-6,695
695,855,Mobile Computing,S Nithyanandam,Dhanpat Rai & Co.,004.6 NIT-M,,
696,609,Mobile Design And Development,Brian Fling,Shoroff Pub & Distributors Pvt. Ltd,004.6 FLI - M,10: 81-8404-817-3,400
697,828,Modern Compiler Design,"Dick Grune, Henri E Bal",WILEY INDIA EDITION,005.453 GRU-M,81-265-0418-8,349
698,502,Modern Database Management 8E,Jeffrey A Hoffer,Pearson Education,005.74 HOF-M;8E,978-81-317-0948-1,465
699,86,Modern Digital Electronics 2E,R P Jain,Tata Mcgraw Hill,621.38 JAI-M;2E,0-07-463200-0,180
700,706,Modern Digital Electronics 2E,R P Jain,Tata Mcgraw Hill,621.38 JAI-M;2E,0-07-463200-0,180
701,61,Modern Operating Systems,Andrew S Tanenbaum,Prentic Hall Of Inadia Pvt Ltd,005.43  TAN-M,81-203-0974-X,225
702,183,Modern Operating Systems,Andrew S.Tanenbaum,Phi,005.43 TAN-M;2,978-81-203-2063-5,325
703,184,Modern Operating Systems,Andrew S.Tanenbaum,Phi,005.43 TAN-M;2,978-81-203-2063-5,325
704,505,Modern Operating Systems 3 Ed,Andrew S Tanenbaum,Phi,005.43 TAN-M;3ED,978-81-203-3904-0,450
705,1083,Modern Operating Systems 3 Ed,Andrew S. Tanenbaum,PHI Learning Ovt.Ltd.,,978-81-203-3904-0,450/-
706,613,Modern Software Development Using C#.Net,Richard Wiener,Cengage Learning,005.133 WIE - M,978-81-315-0214-3,732
707,570,Motivate To Win 3E,Richard Denny,Kogan Page India,658 DEN-M;3E,978-81-7554-534-2,225
708,512,Msoffice 2000 For Every One,Sanjay Saxena,Vikas publishing House,005.5 SAX-M,9.78813E+12,300
709,813,Multimedia Systems Design,Prabhat K Andleigh,PHI,006.7 AND-M,978-81-203-2177-9,350
710,571,Multiple Choice Questions In Computer Science,Ela Kumar,International PUB,004.015  1 KUM-M,9 78 81 90 67577 2,275
711,816,Natural Language Processing,Ela Kumar,I K International Publishing House,005.45 KUM-N,978-93-80578-77-4,195
712,737,Network Analysis,G.K.Mithal,Khanna Pub,004.65 MIT-N,81-7409-070-3,150
713,298,Network Analysis 3E,M.E Van Valkenburg,Prentice Hall Of India,621.319  2  VAL-N;3E,81-203-0156-0,195
714,364,Network Analysis 3E,M.E Van Valkenburg,Prentice Hall Of India,621.319  2  VAL-N;3E,81-203-0156-0,195
715,526,Network Analysis 3E,M.E Van Valkenburg,Pearson,621.319  2  VAL-N;3E,81-317-0158-1,195
716,288,Network Security Essentials 3E,William Stallings,Pearson Education,005.8 STA-N;3E,978-81-317-1664-9,325
717,165,Networks Routing Basics,James Macfarlane,WILLY INDIA PVT LTD,004.6 MAC -N,81-265-0840-X,329
718,56,Neural Networks A Comprehensive Foundation 2E,Simon Heykin,Pearson Education,006.32 HEY-N;2E,81-7808-300-0,250
719,462,"Neural Networks Algorithms,Applications & Programming Techniques",James A. Freeman And David M. Skapura,PEARSON EDDUCATION,006.32 FRE-N,978-81-317-0808-8,399
720,836,"Neural Networks Algorithms,Applications & Programming Techniques","James A Freeman, David M Skapura",Pearson Education,006.320 FRE-N,978-81-317-0808-8,
721,389,"Neural Networks,Fuzzy Logic,And Genetic Algorithms","S Rajasekaran,G.A Vijayalakshmi Pai",PHI,006.32 RAJ-N,978-81-203-2186-1,325
722,580,"Neural Networks,Fuzzy Logic,And Genetic Algorithms","S.Rajasekaran,G.A Vijayalakshmi Pai",PHI,006.320 RAJ-N,978-81-203-2186-1,325
723,1060,Node.js in Practice,"Alex Young, Mark Harter",dreamtech,,978-93-5119-774-4,899/-
724,375,Obeject-Oriented Design And Patterns,Cay Horstmann,wiley india pvt Ltd,005.117HOR-O,978-81-265-1971-2,
725,354,Obeject-Oriented Programming In C++,Nabajyoti Barkakati,Prentice Hall Of India,005.177  BAR-O,81-203-0889-1,
726,707,Object Oriented  Programming With Java,Rajkumar Buyya,Mc Graw Hill,005.133 BUY-O,13:978-0-07-066908-6,
727,39,Object Oriented Analysis And Design,J.Avanija,ANURADHA AGENCIES,005.117 AVA-O,81-87721-66-9,200
728,403,Object Oriented Analysis And Design,John Deacon,Pearson Education,005.117 DEA -O,978-81-317-2606-8,499
729,58,Object Oriented Modeling & Design,"James Rumbaugh,Michal Blaha",PHI,005.117  RUM-O,81-203-1046-2,175
730,21,Object Oriented Modeling & Design,"James Rumbaugh,Michal Blaha",Pearson Education,005.117 RUM-O,81-7758-366-2,175
731,63,Object Oriented Modeling & Design With Uml,"Michael Blaha,James Rumbaugh",Prentic Hall Of Inadia Pvt Ltd,005.117  BLA-O,978-81-203-3016-0,175
732,895,Object Oriented Modeling And Design,"James R Rumbaugha, Michael R Blaha",PHI,005.177 RUM-O,81-203-1046-2,
733,655,Object Oriented Modeling And Design With Uml,"Michael R Blaha,James R Rumbaugha",PEARSON PUBLICATIONS,005.177 BLA-O,978-81-317-1106-4,250
734,684,Object Oriented Modeling And Design With Uml,"Michael R Blaha,James R Rumbaugha",PEARSON PUBLICATIONS,005.177 BLA-O,978-81-317-1106-4,350
735,685,Object Oriented Modeling And Design With Uml,"Michael R Blaha,James R Rumbaugha",PEARSON PUBLICATIONS,005.177 BLA-O,978-81-317-1106-4,250
736,892,Object Oriented Modeling And Design With Uml 2E,"Michael R Blaha,James R Rumbaugha",PEARSON PUBLICATIONS,005.177 BLA-O;2E,978-81-317-1106-4,
737,893,Object Oriented Modeling And Design With Uml 2E,"Michael R Blaha,James R Rumbaugha",PEARSON PUBLICATIONS,005.177 BLA-O;2E,978-81-317-1106-4,399
738,894,Object Oriented Modeling And Design With Uml 2E,"Michael R Blaha,James R Rumbaugha",PEARSON PUBLICATIONS,005.177 BLA-O;2E,978-81-317-1106-4,399
739,521,Object Oriented Modeling With Uml 2E,"Michel Blaha,  James Rumbaugh",PEARSON,005.117 RUM-O;2E,91-317-1106-4,
740,629,Object Oriented Programming In C++,E Balagurusamy,TATA McGRAW HILL,005.133 BAL-O,0-07-462038-x,
741,166,Object Oriented Programming In C++,Robert Lafore,Galgotia,005.133 LAF-O,81-7515-269-9,475
742,688,Object Oriented Programming In C++,Robert Lafore,Galgotia,005.133 LAF-O,81-7515-269-9,475
743,689,Object Oriented Programming In C++,Robert Lafore,Galgotia,005.133 LAF-O,81-7515-269-9,475
744,710,Object Oriented Programming In C++,Robert Lafore,Galgotia,005.133 LAF-O,81-7515-269-9,475
745,867,Object Oriented Programming In C++  4E,Robert Lafore,Pearson Education,005.133 LAF-O ;4E,978-81-317-2282-4,475
746,868,Object Oriented Programming In C++  4E,Robert Lafore,Pearson Education,005.133 LAF-O ;4E,978-81-317-2282-4,475
747,869,Object Oriented Programming In C++  4E,Robert Lafore,Pearson Education,005.133 LAF-O ;4E,978-81-317-2282-4,475
748,870,Object Oriented Programming In C++  4E,Robert Lafore,Pearson Education,005.133 LAF-O ;4E,978-81-317-2282-4,475
749,273,Object Oriented Programming In C++ 3 E,Robert Lafore,Galgotia Publi Pvt Ltd,005.117  LAF-O;3E,81-7515-269-9,320
750,103,Object Oriented Programming In C++ 4E,E Balagurusamy,Tata Mcgraw-Hill,005.177 BAL-0;4E,978-0-07-066907-9,250
751,167,Object Oriented Programming In C++ 4E,Robert Lafore,Pearson,005.133 LAF-O,978-81-317-2282-4,475
752,565,Object Oriented Programming In C++ 4E,Robert Lafore,Pearson,005.133 LAF-O,978-81-317-2282-4,475
753,641,Object Oriented Programming In C++ 4E,Robert Lafore,Pearson,005.133 LAF-O,978-81-317-2282-4,475
754,1069,Object Oriented programming in C++ 4E,Robert Lafore,Pearson,,978-81-317-2282-4,
755,1070,Object Oriented programming in C++ 4E,Robert Lafore,Pearson,,978-81-317-2282-4,
756,844,Object Oriented Programming Through Java,"V Vijaya Bhaskar, P Venkata Subba Reddy",SCitech,005.133 BHA-O,978-81-8371-088-6,
757,683,Object Oriented Programming Using C++,G.K Baluja & G S Baluja,Dhanpat Rai & Co.,005.133 BAL-OB,,
758,741,Object Oriented Programming Using C++,G.K Baluja & G S Baluja,Dhanpat Rai & Co.,005.133 BAL-OB,,325
759,101,Object Oriented Programming With Ansi & Turbo C++,Ashok N.Kamthane,Pearson Education,005.117  KAM-O,81-317-0383-5,270
760,102,Object Oriented Programming With Ansi & Turbo C++,Ashok N Kamthane,Pearson Education,005.117  KAM-O,81-317-0383-5,
761,517,Object Oriented Programming With Ansi & Turbo C++,Ashok N.Kamthane,Pearson Education,005.117  KAM-O,978-81-317-0383-0,
762,690,Object Oriented Programming With C++,E. Balaguruswamy,Tata Mcgraw Hill,005.133 BAL-O,0-07-040211-6,185
763,362,Object Oriented Programming with C++,E Balagurusamy,Tata Mcgraw-Hill,005.133 BAL-O;5E,13: 978-0-07-107283-0,
764,330,Object Oriented Programming With C++ 3E,E. Balaguruswamy,Tata Mcgraw Hill,005.117  BAL- O;3,13:978-0-07-059362-6,230
765,348,Object Oriented Programming With C++ 3E,E. Balaguruswamy,Tata Mcgraw Hill,005.117  BAL- O;3,13:978-0-07-059362-6,230
766,524,Object Oriented Programming With C++ 3E,E. Balaguruswamy,Tata Mcgraw Hill,005.117  BAL- O;3,13:978-0-07-059362-6,230
767,64,Object Oriented Programming With C++ 4E,E Balagurusamy,Tata McGraw-Hill,005.117 BAL-O,13:978-0-07-066907-9,250
768,98,Object Oriented Programming With C++ 4E,E. Balaguruswamy,Tata Mcgraw- Hill,005.177 BAL-0;4E,978-0-07-066907-9,250
769,347,Object Oriented Programming With C++ 4E,E. Balaguruswamy,TATA McGRAW HILL,005.133 BAL-O;4E,978-0-07-066907-9,
770,515,Object Oriented Programming With C++ 4E,E Balagurusamy,The McGraw-hill,005.117 BAL-O;4ED,978-0-07-066907-9,
771,423,Object Oriented Programming With C++ 5E,E. Balaguruswamy,TATA McGRAW HILL,005.133 BAL-O;5E,978-0-07-107283-0,
772,825,"Object-Oriented Analysis, Design And Implementation","Brahma Dathan, Sarnath Ramnath",Universities Press,005.117 DAT-O,978-81-7371-711-6,395
773,738,Object-Oriented Programming In  Microsoft C++,Robert Lafore,Galgotia Publications Pvt Ltd,005.133 LAF-O,81-86011-27-7,375
774,797,Object-Oriented Systems Analysis & Design Using Uml 2E,"Simon Bennet, Steve Mcrobb & Ray Farmer",Tata Mcgraw-Hill,005.12 BEN-O;2E,978-0-07-059791-4,490
775,317,Oop With C++ Velocity Series,Aptech Ltd,Aptech Ltd,005.117  APT-OB,,482
776,632,Op -Amps And Linear Integrated Circuits 4E,Ramakant A Gayakwad,Pearson Publications,621-395-RAM-O;4E,978-81-317-0228-4,220
777,651,Op-Ampsand Linear Integrated Circuits 4E,Ramakant A.Gayakwad,Pearson Education,621-395-RAM-O;4E,81-317-0228-4,
778,171,Op-Ampsand Linear Integrated Circuits 4E,Ramakant A Gayakwa,Phi,621.395 GAY-O;4E,978-81-203-2058-1,225
779,172,Op-Ampsand Linear Integrated Circuits 4E,Ramakant A Gayakwa,Phi,621.395 GAY-O;4E,978-81-203-2058-1,225
780,173,Op-Ampsand Linear Integrated Circuits 4E,Ramakant A Gayakwa,Phi,621.395 GAY-O;4E,978-81-203-2058-1,225
781,527,Op-Ampsand Linear Integrated Circuits 4E,Ramakant A Gayakwa,Phi,621.395 GAY-O;4,978-81-203-2058-1,225
782,528,Op-Ampsand Linear Integrated Circuits 4E,Ramakant A Gayakwa,Phi,621.395 GAY-O;4,978-81-203-2058-1,250
783,1080,Open Source Programming & Embeded System Design Using Arduino IDE,Abubeker K.M,Xpress Publishing,,978-1649510105,310/-
784,830,Operating System 3E,"Gary Nutt, Nabendu Chaki",Pearson Education,005.43 NUT-O;3E,978-81-317-2359-3,599
785,647,Operating System Concepts 6E,Abraham Silberschatz,WILEY INDIA EDITION,005.43 SIL-O;6E,81-265-0885-X,
786,770,Operating System Concepts 6E,Abraham Silberschatz,WILEY INDIA EDITION,005.43 SIL-O;6E,81-265-0885-X,
787,771,Operating System Concepts 6E,Abraham Silberschatz,WILEY INDIA EDITION,005.43 SIL-O;6E,81-265-0885-X,
788,890,Operating System Concepts 6E,Abraham Silberschatz,WILEY INDIA EDITION,005.43 SIL-O;6E,978-81-265-0885-3,
789,891,Operating System Concepts 6E,Abraham Silberschatz,WILEY INDIA EDITION,005.43 SIL-O;6E,978-81-265-0885-3,
790,1102,Operating System Concepts 6E,"Abraham Silberschatz, Peter B. Galvin, Greg Gagne",Wiley India Pvt. Ltd.,,978-81-265-0885-3,
791,1104,Operating System Concepts 6E,"Abraham Silberschatz, Peter B. Galvin, Greg Gagne",Wiley India Pvt. Ltd.,,978-81-265-0885-3,
792,1105,Operating System Concepts 6E,"Abraham Silberschatz, Peter B. Galvin, Greg Gagne",Wiley India Pvt. Ltd.,,978-81-265-0885-3,
793,383,Operating System Concepts 6E,Abraham Silberschatz,WILEY INDIA EDITION,005.43 SIL-O;6E,9812-53-055-X,
794,717,Operating System Concepts 8E,Abraham Silberschatz,Wiley India Edition,005.43 SIL-O,978-81-265-2051-0,449
795,1066,Operating System Concepts 9E,"Abraham Silberschat, Peter Baet Galvin, Greg Gagne ",Wiley India Pvt. Ltd.,,978-81-265-5427-0,
796,1067,Operating System Concepts 9E,"Abraham Silberschat, Peter Baet Galvin, Greg Gagne ",Wiley India Pvt. Ltd.,,978-81-265-5427-0,
797,1068,Operating System Concepts 9E,"Abraham Silberschat, Peter Baet Galvin, Greg Gagne ",Wiley India Pvt. Ltd.,,978-81-265-5427-0,
798,1084,Operating System Concepts 9E,"Abraham Silberschatz, Peter B Galvin, Greg Gagne",Willey India Pvt. Ltd.,,978-81-265-5427-0,
799,1086,Operating System Concepts 9E,"Abraham Silberschatz, Peter Baber Galvin, Greg Gagne",Willey India Pvt. Ltd.,,978-81-265-5427-0,
800,1101,Operating System Concepts 9E,"Abraham Silberschatz, Peter B. Galvin, Greg Gagne",Wiley India Pvt. Ltd.,,978-81-265-5427-0,
801,1103,Operating System Concepts 9E,"Abraham Silberschatz, Peter B. Galvin, Greg Gagne",Wiley India Pvt. Ltd.,,978-81-265-5427-0,
802,1085,Operating System Concepts Windows XP update 6E,"Abraham Silberschatz, Peter Baber Galvin, Greg Gagne",Willey India Pvt. Ltd.,,978-81-265-0885-3,
803,386,Operating Systems 3E,"H.M Deitel,P.J Deitel And D.R Choffnes",Pearson Education,005.43 DEI-O;3ED,978-81-317-1289-4,650
804,52,Operating Systems Design & Implematation,"Andrew S Tanenbaum,Albert S.Woodhull",Prentic Hall Of Inadia Pvt Ltd,005.43   TEN-O,81-203-1241-4,395
805,117,Operating Systems Internals And Design Principles 6E,Willliam Stallings,Phi,005.43 STA-OP;6E,978-81-203-3629-2,395
806,118,Operating Systems Internals And Design Principles 6E,Willliam Stallings,PHI,005.43 STA-OP;6E,978-81-203-3629-2,395
807,702,Operating Systems Internals And Design Principles 6E,Willliam Stallings,Phi,005.43 STA-OP;6E,978-81-203-3629-2,395
808,106,Oprating Systems Principals,Abraham Silberschatz,Wiley India Edition,005.43 SIL-OP ; 7E,9812-53-176-9,
809,43,Oracle 8 Bible,Jatinder Prem &Remesh,IDG Book India PVT.LTD,005.757 5  PRE-O,81-265-0029-8,395
810,841,Oracle Dba Interview Questions,Ashima Mittal,Dream Tech Peblication,005.757 5 MIT-O,978-81-7722-879-3,229
811,487,Oracle Pl/Sql Programming,Lakshman Bulusu,CENGAGE INDIA EDITION,005.757 BUL - O,978-81-315-1084-1,
812,597,Oracle Soa Suite 11G R1 Developers Guide,"Antony Reynolds, Matt Wright",Shoroff pub & Distributors Pvt. Ltd,005.757 REY - O,13: 978-93-5023-106-7,550
813,1,Oxford Dictionary,,OXFORD University Press,423 HIN I,140532029-X,
814,262,Oxford Dictionary & Thesaurus 111,Julia Elliott,OXFORD UNIVERSITY PRESS,423 ELL-O;3,13:978-019-567698-3,
815,261,Oxford Dictionary Of Quotations And Proverbs 11,Susan Ratcliffe,OXFORD UNIVERSITY PRESS,423 RAT-O;2,13:978-019-567698-3,
816,260,Oxford Language Reference 1,Jonathan Law,OXFORD UNIVERSITY PRESS,423 LAW-O;1,13:978-019-567698-3,
817,612,P2P Networking And Application,John F. Buford,MORGAN KAUFMANN PUB,004.62 BUF- N,978-81-312-2249-2,450
818,60,Parallel And Distributed Programming Using C++,"Cameron Hughes,Tracey Hughes",Pearson Education,005.133  HUG-P,81-297-0405-6,375
819,793,Parallel Programming,"Thomas Rauber, Gudula Runger",Springer International Edition,005.275 RAU-P,978-81-322-0391-9,549
820,286,Pc Based Instrumentation,N.Mathivanan,PHI,004.160 MAT-P,978-81-203-3076-4,350
821,28,Pc Throubleshooting In Easy Steps,Stuart Yarnold,Dreamtech Press,005.3  YAR-PC,81-7722-147-7,79
822,484,Pervasive Computing Technology And Architecture Of Mobile Internet Applications,"Jochen Burkhardt, Dr Horst Henn",Pearson Education,004.65 BUR-P,978-81-7758-280-2,399
823,205,Photoshop Cs3,Lauri Ulrich,Wiley India Pvt Ltd,006.6 ULR-P,10:81-265-1380-2,599
824,617,Php Oracle Web Development,Yuli Vasiliev,Shoroff pub & Distributors Pvt. Ltd,005.757 5 YUL - P,10: 81-8404-394-5,450
825,607,Php Web 2.0,Shu-Wai Chow,Packt Publishing,Mashup Projects,10:81-8404-409-7,325
826,458,Pointers On C,Kenneth A. Reek,Pearson Education,005.133 REE-P,978-81-317-1584-0,375
827,792,Practical Distributed Processing,"Philip J Brooke, Richard F Paige",Springer International Edition,,978-81-848-974-94,595
828,595,Practical Ejb Project For Beginners,B.M Harwani,Shoroff Pub & Distributors Pvt. Ltd,005.133 HAR - P,13:978-81-8404-807-0,300
829,217,Precis Writing,Madan Sood,GOODWILL,,81-7245-393-0,50
830,376,Principles Computer Organization And Assembly Language Using Java Virtual Machine,Patrick Juola,Pearson Education,004.22 JUO-P,978-81-317-2171-1,
831,795,Principles Of Compiler Design,V Raghavan,Mc Graw Hill,005.453 RAG-P,978-0-07-014471-2,470
832,532,Principles Of Compiler Design,A A Puntambekar,Technical Publications,005.453 PUN-P,,
833,384,Principles Of Soft Computing,S.N.Sivanandam S.N Deepa,wiley india pvt Ltd,004.22 SIV-P,81-265-1075-7,399
834,142,Principles Of Web Design,Joel Sklar,Course Technology Cengage Learning,006.7 SKL-P,978-81-315-0173-3,245
835,146,Pro C# 2008 And The .Net 3.5 Platform 4E,Andrew Troelsen,Dream Tech Peblication,005.133 TRO-P;4E,978-81-8128-878-3,649
836,400,Problem Solving And Program Design In C 5E,Jeri R Hanly,Pearson Education,005.133 HAN-P;5E,978-81-317-2445-3,425
837,903,Problem Solving And Programming,Dinesh Gupta,Kalyani Publishers,005.133 GUP-P,978-93-272-2373-6,180
838,856,Problem Solving And Programming Using C,Binu A,University Science Press,005.133 BIN-P,,
839,472,Professional Asp.Net 2.0,Bill Evjen Scott Hanselman,Wiley India Pvt Ltd,004.6 EVJ-P,978-81-265-1017-7,699
840,480,Professional Php6,Ed Lecky Thompson,wiley india pvt Ltd,006.76 LEC-P,978-81-265-2249-1,499
841,5,Programming And Problem Solving Using C,Isrd Group,Tata Mcgraw-Hill,005.133 ISRD-P,13 978-0-07-066760-0,
842,87,Programming Ansi C 4E,E Balagurusamy,Tata Mcgraw-Hill,005.133 BAL-P.C:4,13: 978-0-07-064822-7,
843,712,Programming In Ansi C,E Balagurusamy,Tata Mcgraw-Hill,005.133 BAL-P,0-07-460401-5,300
844,646,Programming In Ansi C,E Balagurusamy,Tata Mcgraw-Hill,005.133 BAL-P;7E,978-93-392-1966-6,350
845,1097,Programming in Ansi C  6E,E. Balaguruswamy,Mc Graw Hill Education Pvt. Ltd.,,978-1-25-900461-2,385/-
846,730,Programming In Ansi C 4E,E Balagurusamy,Tata Mcgraw-Hill,005.133 BAL-P,13 978-0-07-064822-7,
847,1027,Programming In Ansi C 4E,E Balagurusamy,Tata Mcgraw-Hill,005.133 BAL-P,13 978-0-07-064822-7,
848,1099,Programming in Ansi C 7E,E. Balaguruswamy,Mc Graw Hill Education Pvt. Ltd.,,978-93-392-1966-6,410/-
849,798,Programming In C,Reema Thareja,OXFORD Higher Education,005.133 THA-P,0-19-807004-7,375
850,1098,Programming in C,E. Balaguruswamy,Mc Graw Hill Education Pvt. Ltd.,,978-93-87432-36-9,425/-
851,1059,Programming in Python 3 2E,Mark Summerfield,Pearson,,978-93-528-6917-6,725/-
852,392,Programming Language Pragmatics 3E,Michael L Scott,ELSEVIER INDIA PVT LTD,005.13 SCO-P;3E,978-81-312-2256-0,550
853,255,Programming With Ansi And Turbo C,Ashok N Kamthane,Pearson Publications,005.133 KAM-P,81-317-0437-8,215
854,22,Programming With Ansi And Turbo C,Ashok N Kamthane,Pearson Education,005.133  NAM-O,81-7808-585-2,215
855,140,Programming With Ansi And Turbo C,Ashok Nkamthane,Pearson Education,005.133  NAM-O,978-81-317-0437-0,260
856,874,Programming With Ansi And Turbo C,Ashok N Kamthane,PEARSON EDUCATION,005.133  KAM-O,978-81-317-0437-0,
857,372,Programming With C 2E,Byron S.Gottfried,Tata McGraw Hill,005.133  GOT-P.C,0-07-460144-X,178
858,313,Programming With C 2E,Byron Gottfried,Tata Mcgraw-Hill,005.133  GOT-P.C,0-07-463491-7,
859,314,Programming With C 2E,Byron S.Gottfried,Tata McGraw Hill,005.133  GOT-P.C,0-07-463491-7,
860,88,Programming With C 3E,Byron Gottfried,Tata McGraw-Hill,005.133  GOT-P ;3E,978-0-07-014590-0,
861,871,Programming With C 3E,Byron Gottfried,Tata McGraw-Hill,005.133  GOT-P ;3E,978-0-07-014590-0,
862,872,Programming With C 3E,Byron Gottfried,Tata McGraw-Hill,005.133  GOT-P ;3E,978-0-07-014590-0,
863,873,Programming With C 3E,Byron Gottfried,Tata McGraw-Hill,005.133  GOT-P ;3E,978-0-07-014590-0,
864,369,Programming With C++ 2E,D Ravichandran,Tata Mcgraw Hill,005.133  RAV-P,0-07-049488-6,300
865,436,Programming With C++ And Data Structures,Maria Litvin And Gary Litvin,Vikas Publishing House,005.73 LIT-P,978-81-259-1545-4,500
866,823,Programming With Java,"M P Bhave, S A Patekar",Pearson Education,005.133 BHA-P,978-81-317-2080-6,399
867,537,Programming With Java 3E,E Balagurusamy,Tata McGraw-Hill,005.133 BAL-P;3E,978-0-07-061713-1,
868,538,Programming With Java 4E,A Primer,Mc Graw Hill,005.13 PRI - P;4E,13:978-0-07-014169-8,
869,302,Progrmming In  Ansi C 3E,E Balagurusamy,Tata McGraw-Hill,005.133 BAL-PRO;4,0-07-053477-2,250
870,303,Progrmming In  Ansi C 3E,E Balagurusamy,Tata Mcgraw-Hill,005.133 BAL-PRO;4,0-07-053477-2,250
871,343,Progrmming In  Ansi C 4E,E Balagurusamy,Tata Mcgraw-Hill,005.133 BAL-PRO;4,13:978-0-07-064822-7,
872,746,Progrmming In  Ansi C 4E,E Balagurusamy,Tata McGraw-Hill,005.133 BAL-P;4E,13:978-0-07-064822-7,260
873,304,Progrmming In  Ansi C 6E,E Balagurusamy,Tata Mcgraw-Hill,005.133 BAL-P;6E,978-1-25-900461-2,310
874,448,Project Hacking Kitaab Encryption  Protecting Your Data,Ankit Fadia  And Jaya Bhattacharjee,Vikas publishing House,005.82 FAD-P,81-259-2251-2,275
875,77,Project Management,"Fr.Biju John,Sandhya Ramakrishnan",Amal Jyothi,658.404 JOH-P,,
876,518,Project Management,Resmi Verghese & Sandhya Ramakrishnan,Amal Jyothi College Of Engineering,658.404 P-VER-2,,110
877,489,Project Manager Street Smarts A Real World Guide To Pmp Skills,Linda Kretz Zaval,Wiley India Pvt Ltd,005.1 KRE-P,978-81-265-2210-1,349
878,159,Project On Java 2,C.Xavier,Scitech Publication,005.133 XAV-P,81-87328-73-8,410
879,66,Project Using C,Pvn Varalakshmi,SCITECH PUBLICATION,005.133 VAR-P,81-87328 35 5,220
880,522,Project Using C,Pvn Varalakshmi,SCITECH PUBLICATION,005.133 VAR-P,81-87328 35 5,250
881,157,Project Using C++ 2E,Pvn Varalakshmi,Scitech Publication,005.133 6 VAR-P,81-88429-031,250
882,270,Project Using C++ 2E,Pvn Varalakshmi,Scitech Publication,005.133 6 VAR-P,81-88429-031,250
883,197,Projects 6E,Prasanna Chandra,Tata McGraw Hill,650 CHA-P;6E,13:978-0-07-061729-2,
884,198,Projects 6E,Prasanna Chandra,Tata McGraw Hill,650 CHA-P;6E,13:978-0-07-061729-2,
885,395,Prolog Programming For Artificial Intelligence 3E,Ivan Bratko,PEARSON,006.3 BRA-P;3E,978-81-317-1134-7,565
886,208,Puzzles & Teasers,George J Summers,JAICO PUBLISHING HOUSE,793.73 SUM-P,81-7224-221-2,65
887,223,Puzzles & Teasers,George J Summers,JAICO PUBLISHING HOUSE,793.73 SUM-P,81-7224-221-2,65
